time,x,xhat,dx
1317203512,748.208,846.581021653,-3.77552613716
1317203811,1250.22,863.17622074,-2.75698987595
1317204112,980.981,866.447319321,-2.45558545311
1317204412,904.556,866.019947174,-2.35417478777
1317204711,858.601,863.412533767,-2.36683671874
1317205011,901.059,863.046362196,-2.26680346136
1317205313,840.618,859.771480798,-2.3172073582
1317205612,746.71,851.917059768,-2.59406804179
1317205912,1702.78,891.995842139,-0.460425521109
1317206214,779.678,885.942545787,-0.740069062655
1317206513,744.712,878.177952889,-1.09129525447
1317206813,773.184,871.891524752,-1.35105189855
1317207111,674.281,860.727499211,-1.84170058069
1317207411,655.299,848.706458699,-2.35066757726
1317207713,530.421,830.559051566,-3.14050455507
1317208012,1220.75,847.08511966,-2.15717592259
1317208313,868.591,846.111096551,-2.09801828194
1317208614,1521.45,877.884924355,-0.404425977609
1317208912,1178.79,892.545973459,0.348847776447
1317209211,869.09,891.704580173,0.28933572336
1317209512,665.789,880.683670102,-0.276176566382
1317209810,643.311,868.552668859,-0.868917800221
1317210112,603.35,854.467063506,-1.52975217787
1317210411,558.394,838.210145761,-2.26611045619
1317210712,527.424,820.51803354,-3.03741054445
1317211012,451.499,799.181541846,-3.95236460194
1317211313,460.989,778.517168382,-4.78796504505
1317211610,489.961,759.54079317,-5.49738555339
1317211911,490.46,740.864237235,-6.15634407243
1317212211,876.583,741.801648505,-5.80165630534
1317212511,584.868,728.44339259,-6.17948628584
1317212811,584.868,715.394110989,-6.5229760516
1317213111,505.945,698.72482819,-7.03029138894
1317213411,533.918,683.805709961,-7.42473273094
1317213711,586.367,671.880278369,-7.64976767402
1317214010,501.45,656.09148516,-8.05671895075
1317214311,519.432,641.604627899,-8.37822586628
1317214611,536.915,628.410831931,-8.61900437136
1317214912,513.938,614.499136181,-8.88363894026
1317215211,485.465,599.607972379,-9.18401518336
1317215511,459.99,583.902259336,-9.51010007635
1317215810,519.432,571.644151297,-9.6475004745
1317216111,486.964,558.245018281,-9.83508210155
1317216411,532.919,547.635389371,-9.873809442
1317216711,459.491,533.848050932,-10.0694858918
1317217011,538.414,524.510336788,-10.0328973044
1317217311,567.885,517.14781751,-9.89937840313
1317217611,508.942,507.333117151,-9.8951445009
1317217910,548.903,500.011224018,-9.76648193252
1317218210,1111.85,521.325004981,-8.21246878774
1317218510,969.492,535.931509384,-7.07152012822
1317218811,571.381,530.986039793,-6.96521760136
1317219110,752.205,535.430031082,-6.39475715684
1317219411,779.178,541.542410229,-5.76940034165
1317219710,673.781,542.673409393,-5.42438036637
1317220010,663.791,543.576127575,-5.10802543893
1317220310,726.729,547.881147029,-4.63737319427
1317220609,634.32,547.797585143,-4.40968262886
