DATE(time)	nodeId	type	count(*)
2012-01-15	12416	9	1
2012-01-15	12416	10	1
2012-01-15	12416	13	1
2012-01-16	229	0	163
2012-01-16	229	2	163
2012-01-16	229	6	163
2012-01-16	229	13	163
2012-01-16	230	0	164
2012-01-16	230	2	164
2012-01-16	230	6	164
2012-01-16	230	13	164
2012-01-16	231	0	163
2012-01-16	231	2	163
2012-01-16	231	6	163
2012-01-16	231	13	163
2012-01-16	232	0	164
2012-01-16	232	2	164
2012-01-16	232	6	164
2012-01-16	232	13	164
2012-01-16	4324	0	163
2012-01-16	4324	2	163
2012-01-16	4324	13	163
2012-01-16	8418	0	163
2012-01-16	8418	2	163
2012-01-16	8418	8	163
2012-01-16	8418	13	163
2012-01-16	12512	0	163
2012-01-16	12512	2	163
2012-01-16	12512	8	163
2012-01-16	12512	9	163
2012-01-16	12512	10	163
2012-01-16	12512	13	163
2012-01-17	229	0	145
2012-01-17	229	2	145
2012-01-17	229	6	145
2012-01-17	229	13	145
2012-01-17	230	0	145
2012-01-17	230	2	145
2012-01-17	230	6	145
2012-01-17	230	13	145
2012-01-17	231	0	145
2012-01-17	231	2	145
2012-01-17	231	6	145
2012-01-17	231	13	145
2012-01-17	232	0	145
2012-01-17	232	2	145
2012-01-17	232	6	145
2012-01-17	232	13	145
2012-01-17	4324	0	145
2012-01-17	4324	2	145
2012-01-17	4324	13	145
2012-01-17	8418	0	145
2012-01-17	8418	2	145
2012-01-17	8418	8	145
2012-01-17	8418	13	145
2012-01-17	12512	0	145
2012-01-17	12512	2	145
2012-01-17	12512	8	145
